decade,genre1,genre2,movie_count,combination
1930,Drama,Film-Noir,54,Drama + Film-Noir
1930,Drama,History,207,Drama + History
1930,Drama,Horror,63,Drama + Horror
1930,Drama,Music,214,Drama + Music
1930,Drama,Musical,254,Drama + Musical
1930,Drama,Mystery,260,Drama + Mystery
1930,Drama,Romance,1522,Drama + Romance
1930,Drama,Sci-Fi,18,Drama + Sci-Fi
1930,Drama,Sport,69,Drama + Sport
1930,Drama,Thriller,60,Drama + Thriller
1930,Drama,War,237,Drama + War
1930,Drama,Western,939,Drama + Western
1930,Family,Fantasy,20,Family + Fantasy
1930,Family,History,1,Family + History
1930,Family,Horror,1,Family + Horror
1930,Family,Music,7,Family + Music
1930,Family,Musical,28,Family + Musical
1930,Family,Mystery,2,Family + Mystery
1930,Family,Romance,16,Family + Romance
1930,Family,Sci-Fi,5,Family + Sci-Fi
1930,Family,Sport,2,Family + Sport
1930,Family,War,3,Family + War
1930,Family,Western,6,Family + Western
1930,Fantasy,History,6,Fantasy + History
1930,Fantasy,Horror,10,Fantasy + Horror
1930,Fantasy,Music,2,Fantasy + Music
1930,Fantasy,Musical,8,Fantasy + Musical
1930,Fantasy,Mystery,3,Fantasy + Mystery
1930,Fantasy,Romance,17,Fantasy + Romance
1930,Fantasy,Sci-Fi,4,Fantasy + Sci-Fi
1930,Film-Noir,Mystery,4,Film-Noir + Mystery
1930,Film-Noir,Romance,3,Film-Noir + Romance
1930,History,Music,3,History + Music
1930,History,Musical,9,History + Musical
1930,History,Mystery,3,History + Mystery
1930,History,Romance,47,History + Romance
1930,History,Thriller,1,History + Thriller
1930,History,War,27,History + War
1930,History,Western,4,History + Western
1930,Horror,Mystery,39,Horror + Mystery
1930,Horror,Romance,8,Horror + Romance
1930,Horror,Sci-Fi,19,Horror + Sci-Fi
1930,Horror,Thriller,9,Horror + Thriller
1930,Music,Musical,11,Music + Musical
1930,Music,Mystery,10,Music + Mystery
1930,Music,News,1,Music + News
1930,Music,Romance,119,Music + Romance
1930,Music,Sport,2,Music + Sport
1930,Music,War,1,Music + War
1930,Music,Western,91,Music + Western
1930,Musical,Mystery,17,Musical + Mystery
1930,Musical,Romance,327,Musical + Romance
1930,Musical,Sport,7,Musical + Sport
1930,Musical,Thriller,1,Musical + Thriller
1930,Musical,War,4,Musical + War
1930,Musical,Western,2,Musical + Western
1930,Mystery,Romance,89,Mystery + Romance
1930,Mystery,Sci-Fi,4,Mystery + Sci-Fi
1930,Mystery,Sport,4,Mystery + Sport
1930,Mystery,Thriller,38,Mystery + Thriller
1930,Mystery,Western,4,Mystery + Western
